1,"Kierownik Magazynu",1990-06-15,2186.46,1990-07-29,295}
2,"Ekonomista",1995-04-03,10699.46,1995-07-20,685}
3,"Inżynier ds. Wdrażania Produkcji",2013-08-15,5470.77,2013-08-26,4675}
4,"Programista baz danych",2007-11-10,2981.0,2008-03-09,4762}
5,"Kierownik punktu sprzedaży",2005-07-22,5232.11,2005-09-18,720}
6,"Telemarketer",1986-05-14,3152.81,1986-09-02,4510}
7,"Programista baz danych",2014-05-21,10243.64,2014-08-31,3077}
8,"Ekonomista",1986-04-27,2866.28,1986-07-31,761}
9,"Lektor",2011-07-01,7720.23,2011-09-20,2969}
10,"Kosztorysant",1987-09-22,6683.59,1987-11-13,4877}
11,"Dyrektor ds. Finansowych",1996-09-09,2442.03,1996-10-12,2192}
12,"Administrator danych osobowych",1977-06-01,8422.92,1977-08-16,1096}
13,"Administrator danych osobowych",2004-04-23,4834.75,2004-07-19,586}
14,"Inżynier Środowiska",1982-11-12,2397.43,1982-11-22,3374}
15,"Specjalista ds. funduszy unijnych",1992-02-10,4930.16,1992-03-24,1549}
16,"Programista",2006-11-20,3872.53,2006-12-23,2658}
17,"Specjalista ds. PR",2017-01-27,6437.9,2017-04-05,3683}
18,"Specjalista ds. dostaw",2010-10-21,7674.15,2010-12-14,1084}
19,"Dyrektor ds. Finansowych",2010-11-25,10962.36,2011-01-13,359}
20,"Dyrektor ds. Rozwoju",1984-11-14,10123.71,1985-02-06,2884}
21,"Prawnik",2012-09-03,3178.77,2012-11-11,4248}
22,"Specjalista ds. windykacji",2000-05-01,10841.43,2000-05-28,441}
23,"Projektant IT",1977-06-20,6734.12,1977-08-04,153}
24,"Projektant IT",2005-10-02,9932.91,2005-11-08,3571}
25,"Inżynier Budowy",2017-07-07,4820.52,2017-08-10,1775}
26,"Office Manager",1992-03-23,9792.44,1992-04-27,1319}
27,"Rzeczoznawca",1979-11-14,5964.16,1979-12-26,1437}
28,"Specjalista ds. badań i rozwoju",2001-04-18,7854.04,2001-07-22,4323}
29,"Asystentka zarządu",2002-05-14,3203.4,2002-06-12,1130}
30,"Office Manager",2011-06-26,9695.68,2011-07-31,563}
31,"Farmaceuta",1987-09-22,9041.23,1988-01-11,1514}
32,"Webmaster",1981-12-24,2316.52,1982-01-20,1838}
33,"Spedytor",2010-12-02,4271.11,2010-12-17,895}
34,"Product Manager",2012-12-23,7303.53,2013-01-12,1418}
35,"Przedstawiciel handlowy",1985-12-23,6266.09,1986-01-07,1492}
36,"Dyrektor ds.Administracyjnych",2014-12-10,9995.38,2015-02-18,2468}
37,"Lektor",1995-10-07,5958.62,1995-12-18,2752}
38,"Technolog",1980-04-04,6405.4,1980-04-25,3303}
39,"Grafik",1979-08-15,10685.35,1979-09-18,3540}
40,"Tłumacz",2003-11-26,4397.39,2003-12-23,2818}
41,"Project Manager",2010-03-17,8889.95,2010-07-02,202}
42,"Analityk rynku",1986-03-01,4599.65,1986-06-19,640}
43,"Dyrektor ds. Rozwoju",2002-06-13,3632.29,2002-07-26,359}
44,"Specjalista ds. ochrony środowiska",1970-02-02,6126.92,1970-03-25,4948}
45,"Analityk rynku",1983-10-02,7779.54,1983-10-14,3926}
46,"Handlowiec",2012-11-09,9256.84,2012-11-23,4023}
47,"Projektant wzornictwa",1992-12-02,2860.55,1993-01-08,4735}
48,"Specjalista ds. dostaw",2008-10-17,7738.9,2008-11-11,709}
49,"Specjalista ds. dostaw",1970-11-22,5234.65,1970-12-23,3937}
50,"Pracownik socjalny",1997-12-11,5544.78,1998-02-10,1450}
51,"Farmaceuta",1973-03-24,6027.37,1973-07-01,717}
52,"Copywriter",1986-07-25,8372.09,1986-09-05,644}
53,"Specjalista ds. marketingu",1977-04-27,7313.6,1977-07-29,2455}
54,"Ekonomista",1981-09-23,4626.62,1981-12-17,432}
55,"Specjalista ds. PR",2017-10-06,6872.08,2017-12-20,107}
56,"Pracownik biurowy",1989-04-04,4249.35,1989-05-16,3732}
57,"Telemarketer",2006-04-02,6967.15,2006-07-12,2629}
58,"Dyrektor ds. Personalnych",1982-11-25,9491.99,1982-12-22,4003}
59,"Notariusz",2003-10-24,4206.53,2003-12-27,3510}
60,"Technolog",1982-11-03,1973.96,1982-12-16,251}
61,"Inżynier ds. Wdrażania Produkcji",2004-12-24,2259.79,2005-03-27,4574}
62,"Tester aplikacji",2010-01-18,9850.15,2010-04-27,614}
63,"Dyrektor ds. Logistyki",1984-06-26,11466.38,1984-10-18,2472}
64,"Inżynier Środowiska",1999-04-27,6322.09,1999-05-04,3908}
65,"Grafik",1977-04-07,9146.2,1977-06-30,680}
66,"Pilot wycieczek",1980-05-15,9327.54,1980-08-20,3390}
67,"Dyrektor ds. Sprzedaży",1977-04-20,2819.58,1977-04-22,2120}
68,"Prawnik",1983-06-24,10913.14,1983-09-09,1037}
69,"Specjalista ds. transportu",1999-02-17,6328.0,1999-03-10,269}
70,"Farmaceuta",1991-03-22,2542.66,1991-07-07,2694}
71,"Agent celny",1972-08-01,7487.63,1972-11-19,238}
72,"Pracownik biurowy",1972-08-02,11330.25,1972-09-19,2987}
73,"Programista PLC",2003-12-14,3043.38,2004-01-16,4418}
74,"Urzędnik państwowy",1995-07-02,5017.83,1995-09-15,4640}
75,"Specjalista ds. BHP",1972-01-05,8830.06,1972-02-12,3162}
76,"Kierownik punktu sprzedaży",1992-10-27,6074.15,1993-02-10,2713}
77,"Specjalista ds. zakupów",1976-12-18,8999.67,1977-04-11,2630}
78,"Specjalista ds. PR",2006-05-10,9068.88,2006-07-23,1901}
79,"Pełnomocnik ds. Jakości",1977-07-17,3033.01,1977-10-15,1302}
80,"Programista PLC",1981-07-23,2967.54,1981-10-27,2859}
81,"Dyrektor ds. Personalnych",2014-09-05,2693.5,2014-09-21,3970}
82,"Notariusz",1974-05-23,8674.92,1974-09-03,1951}
83,"Księgowa",2016-10-10,9293.88,2016-11-29,4363}
84,"Specjalista ds. zakupów",2006-02-24,8871.1,2006-05-07,1044}
85,"Inżynier ds. Wdrażania Produkcji",2003-12-19,2997.84,2003-12-21,2607}
86,"Doradca techniczno-handlowy",2016-06-01,11105.02,2016-06-15,795}
87,"Pracownik socjalny",1986-01-10,8627.7,1986-02-19,408}
88,"Koordynator robót budowlanych",1979-09-23,3241.85,1979-09-29,816}
89,"Specjalista ds. planowania produkcji",1987-12-24,6112.49,1988-04-16,4722}
90,"Architekt budownictwa",2005-11-12,6681.4,2005-12-10,232}
91,"Dyrektor ds.Administracyjnych",1988-09-04,3480.25,1988-09-16,1662}
92,"Pełnomocnik ds. Jakości",2000-10-22,10416.87,2001-02-16,794}
93,"Pełnomocnik ds. Jakości",2002-11-21,2050.37,2003-01-20,4789}
94,"Specjalista ds. dostaw",1978-01-16,1848.03,1978-05-09,2797}
95,"Product Manager",1999-01-24,1813.74,1999-03-18,3930}
