1,Projektant IT,1987-08-28,4203.87,1987-09-07,275
2,Dyrektor ds. Marketingu,1988-06-15,2180.68,1988-06-23,2260
3,Dyrektor ds.Administracyjnych,2006-12-13,4282.07,2007-03-27,183
4,Fakturzystka,1975-10-02,5217.65,1975-10-27,1533
5,Specjalista ds. reklamacji,1983-12-11,8120.09,1984-01-31,1868
6,Dyrektor ds. Logistyki,2012-02-12,8690.64,2012-03-30,2172
7,Telemarketer,2003-11-01,2310.31,2004-02-07,617
8,Specjalista ds. BHP,1971-11-22,3352.03,1972-02-11,604
9,Inżynier utrzymania ruchu,1977-04-14,2167.55,1977-07-27,904
10,Inżynier Budowy,2001-10-26,10878.43,2002-02-06,3824
11,Prezenter,2005-03-22,3305.2,2005-03-27,3577
12,Dyrektor ds. Personalnych,1987-09-15,4820.92,1987-09-22,3853
13,Programista,1976-02-14,6787.14,1976-05-03,3038
14,Trener,2012-03-11,7169.25,2012-04-02,1079
15,Dyrektor ds.Administracyjnych,1998-04-09,9998.13,1998-04-14,122
16,Administrator,1985-10-13,9228.0,1985-11-25,1036
17,Specjalista ds. planowania produkcji,1994-12-05,7209.22,1994-12-26,4451
18,Administrator,1985-01-12,5011.65,1985-02-08,3602
19,Geodeta,2014-10-24,4672.14,2014-12-19,1789
20,Programista,2006-10-08,7448.16,2007-02-05,2203
21,Kierownik punktu sprzedaży,2006-07-13,6737.63,2006-09-21,2050
22,Agent celny,1997-03-18,8323.74,1997-05-11,2792
23,Prawnik,1971-07-10,6346.17,1971-10-27,2758
24,Inżynier Środowiska,1977-06-12,4705.24,1977-06-30,1184
25,Grafik,2009-12-06,6550.56,2010-03-04,3404
26,Specjalista ds. zakupów,1975-12-22,10110.94,1976-03-27,4903
27,Specjalista ds. dostaw,2009-08-07,3225.8,2009-11-13,4619
28,Specjalista ds. dostaw,2011-11-01,4940.34,2011-12-30,662
29,Asystentka zarządu,1971-03-24,2605.75,1971-03-27,1109
30,Dyrektor ds.Administracyjnych,1996-03-07,6673.13,1996-03-30,3496
31,Projektant wzornictwa,2008-02-07,10830.27,2008-04-10,1296
32,Spedytor,1976-05-25,4614.03,1976-07-16,3505
33,Dyrektor ds. Logistyki,2004-04-13,8759.73,2004-05-10,391
34,Konstruktor,1980-05-18,1938.91,1980-07-19,1899
35,Pedagog,1995-06-26,10886.65,1995-09-21,3550
36,Konstruktor,2017-07-17,1857.36,2017-11-04,2620
37,Specjalista ds. reklamacji,1985-10-23,8467.25,1985-10-29,2207
38,Product Manager,1994-08-24,3433.4,1994-11-03,1236
39,Programista PLC,1995-05-17,10474.54,1995-05-24,1102
40,Doradca zawodowy,1981-06-28,5043.38,1981-08-27,4587
41,Technolog,1989-07-15,10852.21,1989-08-02,2235
42,Inżynier Budowy,2009-04-05,7870.7,2009-07-07,4021
43,Specjalista ds. PR,1999-03-11,7896.2,1999-06-30,2178
44,Kierownik punktu sprzedaży,2006-06-22,4180.07,2006-08-15,687
45,Specjalista ds. marketingu,1981-10-02,10091.57,1981-10-08,918
46,Dyrektor ds. Personalnych,1993-05-05,7526.82,1993-06-01,1387
47,Specjalista ds. windykacji,2006-08-27,8326.87,2006-09-24,4781
48,Notariusz,2007-12-14,2150.0,2007-12-25,2228
49,Recepcjonistka,1996-08-16,8887.24,1996-09-18,3916
50,Inżynier ds. Wdrażania Produkcji,1992-07-28,8490.72,1992-08-07,556
51,Farmaceuta,2012-04-03,4001.67,2012-05-12,4191
52,Lektor,1979-03-15,2573.68,1979-03-18,4717
53,Laborant,2015-05-07,6646.17,2015-05-31,285
54,Specjalista ds. planowania produkcji,1997-11-27,4421.56,1997-12-08,1933
55,Specjalista ds. planowania produkcji,2014-03-15,10877.8,2014-04-08,3393
56,Dyrektor ds. Personalnych,1994-02-08,4890.48,1994-05-13,4025
57,Kierownik punktu sprzedaży,1974-11-02,7837.31,1974-11-03,225
58,Konsultant ds. Wdrożeń,2006-11-25,9677.8,2007-02-07,2435
59,Dyrektor ds. Logistyki,1986-04-12,2900.13,1986-08-05,3527
60,Recepcjonistka,2005-03-16,8337.82,2005-04-30,2971
61,Przedstawiciel handlowy,1976-02-08,2468.7,1976-04-08,3520
62,Koordynator sprzedaży,2011-02-13,4546.47,2011-06-07,307
63,Projektant IT,1983-11-27,5759.1,1983-12-09,1188
64,Fakturzystka,1977-10-07,2197.56,1977-11-28,4986
65,Pilot wycieczek,1994-04-01,8123.78,1994-04-19,629
66,Tester aplikacji,2003-05-26,7267.61,2003-09-10,1925
67,Tester aplikacji,1997-03-17,7699.01,1997-03-23,3918
68,Architekt wnętrz / krajobrazu,1977-03-12,10689.73,1977-06-02,354
69,Geodeta,1988-12-15,10198.49,1988-12-29,3753
70,Programista baz danych,1979-02-17,3996.99,1979-02-21,2990
71,Doradca finansowy,1970-02-13,3282.31,1970-02-27,1762
72,Konstruktor,1996-02-21,4727.39,1996-03-22,3689
73,Prawnik,2007-09-17,2902.05,2007-10-27,672
74,Geodeta,1998-03-24,6128.47,1998-06-10,256
75,Lekarz,1986-05-26,3610.45,1986-09-14,4243
76,Programista PLC,1998-02-28,2357.24,1998-04-07,524
77,Specjalista ds. reklamacji,1974-12-09,8091.79,1975-03-24,4572
78,Asystentka zarządu,1976-06-23,10492.88,1976-09-26,2775
79,Trener,1976-04-24,4878.45,1976-05-16,151
80,Specjalista ds. ochrony środowiska,1995-06-21,6294.35,1995-07-12,4271
81,Agenta nieruchomości,1976-02-28,1924.56,1976-03-31,4111
82,Specjalista ds. marketingu,1980-08-11,9120.07,1980-10-30,4821
83,Specjalista ds. BHP,2014-07-22,10919.67,2014-08-27,347
84,Automatyk,2013-09-16,6943.22,2013-11-12,2038
85,Specjalista ds. ochrony środowiska,1984-02-28,9401.58,1984-03-19,313
86,Programista PLC,2012-05-03,10128.97,2012-05-23,4740
87,Project Manager,2013-11-09,11202.3,2014-02-24,4134
88,Tłumacz,2015-08-25,9466.61,2015-11-13,3054
